CD_SERVICE_INF__SERVICE;LIAISON_INF__LIAISON;CD_AIRE_INF__TYPE;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB
TELEPHONE;A6;AS;1;122900
TELEPHONE;A6;AS;1;167000
TELEPHONE;A6;AS;1;212900
TELEPHONE;A6;AS;1;255400
TELEPHONE;A6;AS;1;286400
TELEPHONE;A6;AS;1;311300
TELEPHONE;A6;AS;1;341700
TELEPHONE;A6;AS;1;374800
TELEPHONE;A6;AS;1;407800
TELEPHONE;A6;AS;1;435600
TELEPHONE;A6;AS;1;450089
Vente Liber-t;A6;AS;1;311300
WIFI;A6;AS;1;450089
BRUMISATEUR;A6;AS;2;285500
BRUMISATEUR;A6;AS;2;341700
BRUMISATEUR;A6;AS;2;408400
BRUMISATEUR;A6;AS;2;445700
DAB;A6;AS;2;58000
DAB;A6;AS;2;285500
DAB;A6;AS;2;408400
DAB;A6;AS;2;435800
DAB;A6;AS;2;445700
Information;A6;AS;2;285500
JEUX;A6;AS;2;122900
JEUX;A6;AS;2;167000
JEUX;A6;AS;2;213000
JEUX;A6;AS;2;256000
JEUX;A6;AS;2;285500
JEUX;A6;AS;2;311300
JEUX;A6;AS;2;341700
JEUX;A6;AS;2;374800
JEUX;A6;AS;2;408400
JEUX;A6;AS;2;435800
JEUX;A6;AS;2;445700
MOBILITE REDUITE;A6;AS;2;29000
